Distrito,Causa_Morte,Ano,Obitos
Distrito de Aveiro,Diabetes,2018,233
Distrito de Aveiro,Doenças do aparelho circulatório,2018,1956
Distrito de Aveiro,Doenças do aparelho digestivo,2018,303
Distrito de Aveiro,Doenças do aparelho respiratório,2018,902
Distrito de Aveiro,SIDA,2018,17
Distrito de Aveiro,Suicídio,2018,44
Distrito de Aveiro,Tuberculose,2018,14
Distrito de Aveiro,Tumores malignos,2018,1671
Distrito de Aveiro,Diabetes,2019,230
Distrito de Aveiro,Doenças do aparelho circulatório,2019,2086
Distrito de Aveiro,Doenças do aparelho digestivo,2019,277
Distrito de Aveiro,Doenças do aparelho respiratório,2019,840
Distrito de Aveiro,SIDA,2019,16
Distrito de Aveiro,Suicídio,2019,61
Distrito de Aveiro,Tuberculose,2019,13
Distrito de Aveiro,Tumores malignos,2019,1779
Distrito de Aveiro,Diabetes,2020,237
Distrito de Aveiro,Doenças do aparelho circulatório,2020,2152
Distrito de Aveiro,Doenças do aparelho digestivo,2020,315
Distrito de Aveiro,Doenças do aparelho respiratório,2020,757
Distrito de Aveiro,SIDA,2020,6
Distrito de Aveiro,Suicídio,2020,49
Distrito de Aveiro,Tuberculose,2020,7
Distrito de Aveiro,Tumores malignos,2020,1739
Distrito de Aveiro,Diabetes,2021,202
Distrito de Aveiro,Doenças do aparelho circulatório,2021,2001
Distrito de Aveiro,Doenças do aparelho digestivo,2021,358
Distrito de Aveiro,Doenças do aparelho respiratório,2021,707
Distrito de Aveiro,SIDA,2021,10
Distrito de Aveiro,Suicídio,2021,57
Distrito de Aveiro,Tuberculose,2021,8
Distrito de Aveiro,Tumores malignos,2021,1783
Distrito de Aveiro,Diabetes,2022,213
Distrito de Aveiro,Doenças do aparelho circulatório,2022,1989
Distrito de Aveiro,Doenças do aparelho digestivo,2022,345
Distrito de Aveiro,Doenças do aparelho respiratório,2022,820
Distrito de Aveiro,SIDA,2022,6
Distrito de Aveiro,Suicídio,2022,69
Distrito de Aveiro,Tuberculose,2022,9
Distrito de Aveiro,Tumores malignos,2022,1782
Distrito de Aveiro,Diabetes,2023,180
Distrito de Aveiro,Doenças do aparelho circulatório,2023,1864
Distrito de Aveiro,Doenças do aparelho digestivo,2023,324
Distrito de Aveiro,Doenças do aparelho respiratório,2023,925
Distrito de Aveiro,SIDA,2023,2
Distrito de Aveiro,Suicídio,2023,62
Distrito de Aveiro,Tuberculose,2023,8
Distrito de Aveiro,Tumores malignos,2023,1805
Distrito de Beja,Diabetes,2001,119
Distrito de Beja,Doenças do aparelho circulatório,2001,1048
Distrito de Beja,Doenças do aparelho digestivo,2001,91
Distrito de Beja,Doenças do aparelho respiratório,2001,142
Distrito de Beja,SIDA,2001,4
Distrito de Beja,Suicídio,2001,42
Distrito de Beja,Tuberculose,2001,9
Distrito de Beja,Tumores malignos,2001,461
Distrito de Beja,Diabetes,2002,117
Distrito de Beja,Doenças do aparelho circulatório,2002,1025
Distrito de Beja,Doenças do aparelho digestivo,2002,94
Distrito de Beja,Doenças do aparelho respiratório,2002,156
Distrito de Beja,SIDA,2002,4
Distrito de Beja,Suicídio,2002,43
Distrito de Beja,Tuberculose,2002,8
Distrito de Beja,Tumores malignos,2002,460
Distrito de Beja,Diabetes,2003,114
Distrito de Beja,Doenças do aparelho circulatório,2003,1002
Distrito de Beja,Doenças do aparelho digestivo,2003,97
Distrito de Beja,Doenças do aparelho respiratório,2003,171
Distrito de Beja,SIDA,2003,4
Distrito de Beja,Suicídio,2003,44
Distrito de Beja,Tuberculose,2003,8
Distrito de Beja,Tumores malignos,2003,458
Distrito de Beja,Diabetes,2004,112
Distrito de Beja,Doenças do aparelho circulatório,2004,979
Distrito de Beja,Doenças do aparelho digestivo,2004,100
Distrito de Beja,Doenças do aparelho respiratório,2004,186
Distrito de Beja,SIDA,2004,4
Distrito de Beja,Suicídio,2004,44
Distrito de Beja,Tuberculose,2004,7
Distrito de Beja,Tumores malignos,2004,457
Distrito de Beja,Diabetes,2005,110
Distrito de Beja,Doenças do aparelho circulatório,2005,956
Distrito de Beja,Doenças do aparelho digestivo,2005,102
Distrito de Beja,Doenças do aparelho respiratório,2005,200
Distrito de Beja,SIDA,2005,4
Distrito de Beja,Suicídio,2005,45
Distrito de Beja,Tuberculose,2005,6
Distrito de Beja,Tumores malignos,2005,456
Distrito de Beja,Diabetes,2006,108
Distrito de Beja,Doenças do aparelho circulatório,2006,932
Distrito de Beja,Doenças do aparelho digestivo,2006,105
Distrito de Beja,Doenças do aparelho respiratório,2006,214
Distrito de Beja,SIDA,2006,5
Distrito de Beja,Suicídio,2006,46
Distrito de Beja,Tuberculose,2006,5
Distrito de Beja,Tumores malignos,2006,454
Distrito de Beja,Diabetes,2007,106
Distrito de Beja,Doenças do aparelho circulatório,2007,909
Distrito de Beja,Doenças do aparelho digestivo,2007,108
Distrito de Beja,Doenças do aparelho respiratório,2007,229
Distrito de Beja,SIDA,2007,5
Distrito de Beja,Suicídio,2007,46
Distrito de Beja,Tuberculose,2007,4
Distrito de Beja,Tumores malignos,2007,453
Distrito de Beja,Diabetes,2008,103
Distrito de Beja,Doenças do aparelho circulatório,2008,886
Distrito de Beja,Doenças do aparelho digestivo,2008,111
Distrito de Beja,Doenças do aparelho respiratório,2008,244
Distrito de Beja,SIDA,2008,5
Distrito de Beja,Suicídio,2008,47
Distrito de Beja,Tuberculose,2008,4
Distrito de Beja,Tumores malignos,2008,451
Distrito de Beja,Diabetes,2009,101
Distrito de Beja,Doenças do aparelho circulatório,2009,863
Distrito de Beja,Doenças do aparelho digestivo,2009,114
Distrito de Beja,Doenças do aparelho respiratório,2009,258
Distrito de Beja,SIDA,2009,5
Distrito de Beja,Suicídio,2009,48
Distrito de Beja,Tuberculose,2009,3
Distrito de Beja,Tumores malignos,2009,450
Distrito de Beja,Diabetes,2010,98
Distrito de Beja,Doenças do aparelho circulatório,2010,899
Distrito de Beja,Doenças do aparelho digestivo,2010,105
Distrito de Beja,Doenças do aparelho respiratório,2010,260
Distrito de Beja,SIDA,2010,6
Distrito de Beja,Suicídio,2010,51
Distrito de Beja,Tuberculose,2010,5
Distrito de Beja,Tumores malignos,2010,497
Distrito de Beja,Diabetes,2011,91
Distrito de Beja,Doenças do aparelho circulatório,2011,882
Distrito de Beja,Doenças do aparelho digestivo,2011,86
Distrito de Beja,Doenças do aparelho respiratório,2011,267
Distrito de Beja,SIDA,2011,3
Distrito de Beja,Suicídio,2011,41
Distrito de Beja,Tuberculose,2011,0
Distrito de Beja,Tumores malignos,2011,500
Distrito de Beja,Diabetes,2012,129
Distrito de Beja,Doenças do aparelho circulatório,2012,791
Distrito de Beja,Doenças do aparelho digestivo,2012,81
Distrito de Beja,Doenças do aparelho respiratório,2012,299
Distrito de Beja,SIDA,2012,4
Distrito de Beja,Suicídio,2012,46
Distrito de Beja,Tuberculose,2012,1
Distrito de Beja,Tumores malignos,2012,455
Distrito de Beja,Diabetes,2013,109
Distrito de Beja,Doenças do aparelho circulatório,2013,687
Distrito de Beja,Doenças do aparelho digestivo,2013,89
Distrito de Beja,Doenças do aparelho respiratório,2013,275
Distrito de Beja,SIDA,2013,0
Distrito de Beja,Suicídio,2013,40
