"Territórios","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Penalva do Castelo",8969,8884,8779,8672,8575,8478,8382,8278,8162,8034,7967,7916,7808,7699,7603,7515,7439,7373,7327,7342,7349,7305,7311,7378
"Santa Comba Dão",12432,12378,12323,12239,12126,12040,11958,11867,11774,11669,11603,11520,11379,11232,11086,10949,10833,10738,10675,10700,10763,10797,10865,10974
"São Pedro do Sul",18984,18827,18623,18389,18172,17938,17675,17421,17188,16977,16714,16453,16241,16014,15812,15624,15449,15298,15202,15188,15188,15122,15132,15247
"Sátão",13124,13124,13096,13033,12956,12889,12830,12751,12653,12548,12495,12389,12164,11929,11714,11532,11368,11196,11063,11046,11047,11032,11087,11202
"Tondela",31068,30941,30764,30555,30351,30122,29894,29683,29438,29165,28737,28290,27913,27508,27174,26868,26555,26283,26101,26069,25995,25776,25738,25891
"Vila Nova de Paiva",6100,6042,5962,5857,5743,5642,5548,5449,5346,5238,5199,5173,5078,4984,4906,4830,4773,4728,4683,4683,4692,4688,4722,4795
"Viseu",93711,94718,95482,96081,96631,97134,97616,98112,98638,99114,99655,99854,99537,99220,99013,98879,98800,98859,99289,99824,100118,100302,101172,102740
"Vouzela",11864,11771,11648,11508,11373,11237,11110,10976,10819,10656,10486,10325,10187,10051,9938,9839,9718,9599,9529,9575,9674,9681,9709,9786
"Castelo Branco",55793,55994,56074,56124,56151,56151,56176,56182,56201,56221,56134,55793,55262,54714,54238,53846,53465,53081,52830,52684,52533,52486,52707,53128
"Idanha-a-Nova",11610,11432,11246,11055,10853,10660,10481,10285,10094,9883,9645,9448,9293,9141,9002,8877,8755,8635,8548,8476,8417,8405,8449,8517
"Oleiros",6648,6560,6460,6363,6261,6163,6074,5983,5885,5791,5659,5511,5388,5282,5183,5088,5005,4926,4865,4866,4913,4905,4882,4899
"Penamacor",6629,6539,6433,6343,6262,6168,6071,5968,5875,5786,5602,5412,5296,5188,5098,5011,4931,4864,4802,4781,4792,4772,4773,4809
"Proença-a-Nova",9576,9487,9376,9248,9115,8975,8852,8723,8567,8415,8272,8128,7978,7823,7679,7559,7445,7337,7244,7186,7151,7117,7097,7097
"Sertã",16684,16646,16569,16481,16401,16315,16250,16164,16064,15977,15757,15506,15340,15188,15059,14930,14847,14792,14738,14779,14856,14869,14883,14942
"Vila de Rei",3372,3396,3407,3426,3445,3445,3455,3464,3466,3468,3548,3593,3529,3475,3427,3376,3322,3280,3251,3269,3341,3395,3423,3449
"Vila Velha de Ródão",4085,4038,3985,3936,3878,3809,3742,3674,3615,3562,3558,3535,3452,3387,3339,3294,3258,3231,3222,3271,3374,3449,3491,3546
"Almeida",8402,8326,8216,8108,7988,7852,7727,7601,7483,7355,7281,7188,7009,6841,6685,6530,6358,6182,6026,5918,5832,5741,5687,5655
"Belmonte",7561,7509,7443,7364,7304,7235,7159,7079,6995,6915,6868,6799,6694,6585,6478,6402,6325,6244,6182,6169,6193,6192,6197,6241
"Celorico da Beira",8818,8715,8618,8504,8377,8263,8156,8043,7925,7796,7638,7493,7367,7237,7114,6998,6882,6774,6695,6643,6596,6552,6572,6620
"Covilhã",54389,54261,54086,53853,53591,53333,53084,52782,52438,52081,51600,50989,50336,49696,49116,48548,48029,47579,47239,46913,46548,46233,46228,46491
"Figueira de Castelo Rodrigo",7134,7070,6990,6903,6812,6714,6618,6522,6427,6333,6250,6169,6057,5935,5816,5698,5569,5442,5330,5233,5141,5078,5055,5033
"Fornos de Algodres",5606,5550,5477,5413,5364,5315,5266,5195,5120,5040,5055,5073,4990,4904,4826,4750,4664,4571,4491,4461,4441,4396,4378,4392
"Fundão",31399,31279,31104,30886,30641,30422,30226,29982,29716,29432,29028,28582,28194,27851,27573,27295,27024,26806,26652,26626,26652,26640,26806,27133
"Gouveia",16059,15897,15688,15469,15262,15069,14888,14674,14444,14212,14029,13836,13599,13384,13167,12955,12759,12563,12402,12324,12273,12176,12169,12262
